year,i_iso3,pop
2006,WLF,14607
2006,WSM,180874
2007,AFG,27100542
2007,AFR,974359827
2007,ASM,58367
2007,AUS,20916339
2007,BGD,142660381
2007,BRN,374967
2007,BTN,664873
2007,CAN,32930795
2007,CHN,1345993891
2007,COK,18994
2007,EUR,729825326
2007,FJI,836185
2007,FSM,104442
2007,GUM,158848
2007,HKG,6840017
2007,IDN,232374239
2007,IND,1183209471
2007,IRN,71336476
2007,JPN,128494050
2007,KHM,13679953
2007,KIR,96531
2007,KOR,49034813
2007,LAO,5944950
2007,LKA,19842044
2007,MAC,504504
2007,MDV,335172
2007,MHL,56046
2007,MMR,49621479
2007,MNG,2593819
2007,MNP,55215
2007,MYS,26720367
2007,NCL,243332
2007,NIU,1647
2007,NPL,26382586
2007,NRU,9846
2007,NZL,4233046
2007,PAK,167808106
2007,PHL,89405482
2007,PLW,19159
2007,PNG,6808503
2007,PRK,24188330
2007,PYF,262717
2007,ROA,275960535
2007,SCA,571132931
2007,SGP,4578629
2007,SLB,492133
2007,THA,66182064
2007,TKL,1143
2007,TLS,1036388
2007,TON,102577
2007,TUV,10219
2007,TWN,22927222
2007,USA,300608425
2007,VNM,85419588
2007,VUT,219464
2007,WLF,14128
2007,WSM,182045
2008,AFG,27722281
2008,AFR,999212523
2008,ASM,57490
2008,AUS,21332293
2008,BGD,144304164
2008,BRN,379418
2008,BTN,671611
2008,CAN,33337638
2008,CHN,1353569480
2008,COK,18808
2008,EUR,731301352
2008,FJI,845356
2008,FSM,103549
2008,GUM,159037
2008,HKG,6881861
2008,IDN,235469755
2008,IND,1200669762
2008,IRN,72120608
2008,JPN,128538644
2008,KHM,13883835
2008,KIR,98760
2008,KOR,49182458
2008,LAO,6046630
2008,LKA,19983984
2008,MAC,515232
2008,MDV,343448
2008,MHL,56166
2008,MMR,49929642
2008,MNG,2631899
2008,MNP,54621
2008,MYS,27236003
2008,NCL,246696
2008,NIU,1633
2008,NPL,26666581
2008,NRU,9880
2008,NZL,4278156
2008,PAK,171648984
2008,PHL,90901967
2008,PLW,18708
2008,PNG,6976200
2008,PRK,24310143
2008,PYF,264064
2008,ROA,282339046
2008,SCA,577886668
2008,SGP,4775810
2008,SLB,503366
2008,THA,66530980
2008,TKL,1134
2008,TLS,1055428
2008,TON,103384
2008,TUV,10315
2008,TWN,23019042
2008,USA,303486022
2008,VNM,86243424
2008,VUT,224700
2008,WLF,13576
2008,WSM,183270
2009,AFG,28394806
2009,AFR,1024889366
2009,ASM,56675
2009,AUS,21750852
2009,BGD,145924795
2009,BRN,383902
2009,BTN,678329
2009,CAN,33746093
2009,CHN,1361169410
2009,COK,18602
2009,EUR,732806546
2009,FJI,853636
2009,FSM,102971
2009,GUM,159232
2009,HKG,6924642
2009,IDN,238620554
2009,IND,1217726217
2009,IRN,72924833
2009,JPN,128555196
2009,KHM,14093605
2009,KIR,100928
2009,KOR,49347450
2009,LAO,6148621
2009,LKA,20123508
2009,MAC,526401
2009,MDV,353391
2009,MHL,56255
2009,MMR,50250366
2009,MNG,2673794
2009,MNP,54194
2009,MYS,27735038
2009,NCL,250082
2009,NIU,1622
2009,NPL,26883531
2009,NRU,9945
2009,NZL,4323338
2009,PAK,175525610
2009,PHL,92414161
2009,PLW,18290
2009,PNG,7144774
2009,PRK,24428340
2009,PYF,265256
2009,ROA,288801775
2009,SCA,584594769
2009,SGP,4966614
2009,SLB,515182
2009,THA,66866834
2009,TKL,1126
2009,TLS,1074286
2009,TON,103897
2009,TUV,10413
2009,TWN,23104542
2009,USA,306307565
2009,VNM,87092250
2009,VUT,230244
2009,WLF,13071
2009,WSM,184553
2010,AFG,29185511
2010,AFR,1051420752
2010,ASM,56084
2010,AUS,22154687
2010,BGD,147575433
2010,BRN,388634
2010,BTN,685502
2010,CAN,34147566
2010,CHN,1368810604
2010,COK,18392
2010,EUR,734294458
2010,FJI,859816
2010,FSM,102916
2010,GUM,159439
2010,HKG,6966324
2010,IDN,241834226
2010,IND,1234281163
2010,IRN,73762519
2010,JPN,128542349
2010,KHM,14312205
2010,KIR,102930
2010,KOR,49545638
2010,LAO,6249168
2010,LKA,20261738
2010,MAC,538215
2010,MDV,365730
2010,MHL,56361
2010,MMR,50600827
2010,MNG,2719902
2010,MNP,53971
2010,MYS,28208028
2010,NCL,253529
2010,NIU,1622
2010,NPL,27013207
2010,NRU,10009
2010,NZL,4370060
2010,PAK,179424643
2010,PHL,93966784
2010,PLW,17954
2010,PNG,7310512
2010,PRK,24548840
2010,PYF,266449
2010,ROA,295231604
2010,SCA,591263787
2010,SGP,5131170
2010,SLB,527861
2010,THA,67195032
2010,TKL,1129
2010,TLS,1093517
2010,TON,103981
2010,TUV,10521
2010,TWN,23187556
2010,USA,309011469
2010,VNM,87967655
2010,VUT,236216
2010,WLF,12686
2010,WSM,185944
2011,AFG,30117411
2011,AFR,1078821371
2011,ASM,55755
2011,AUS,22538002
2011,BGD,149273134
2011,BRN,393687
2011,BTN,693297
2011,CAN,34539156
2011,CHN,1376497633
2011,COK,18200
2011,EUR,735730346
2011,FJI,863451
2011,FSM,103448
2011,GUM,159690
2011,HKG,7006598
2011,IDN,245115988
2011,IND,1250287939
2011,IRN,74634959
2011,JPN,128498966
2011,KHM,14541421
2011,KIR,104735
2011,KOR,49786153
2011,LAO,6347564
2011,LKA,20398496
2011,MAC,550833
2011,MDV,380493
2011,MHL,56524
2011,MMR,50990612
2011,MNG,2770357
2011,MNP,54013
2011,MYS,28650962
2011,NCL,257066
2011,NIU,1618
2011,NPL,27041220
2011,NRU,10069
2011,NZL,4418674
2011,PAK,183340168
2011,PHL,95570049
2011,PLW,17748
2011,PNG,7472196
2011,PRK,24673392
2011,PYF,267702
2011,ROA,301592975
2011,SCA,597901557
2011,SGP,5263640
2011,SLB,541522
2011,THA,67518379
2011,TKL,1138
2011,TLS,1113154
2011,TON,103558
2011,TUV,10626
2011,TWN,23268760
2011,USA,311584051
2011,VNM,88871384
2011,VUT,242658
2011,WLF,12463
2011,WSM,187469
2012,AFG,31161378
2012,AFR,1107066353
2012,ASM,55669
2012,AUS,22903951
2012,BGD,151005733
2012,BRN,398997
2012,BTN,701582
2012,CAN,34922031
2012,CHN,1384206408
2012,COK,18009
2012,EUR,737103048
2012,FJI,865065
2012,FSM,104506
2012,GUM,159990
2012,HKG,7046847
2012,IDN,248451714
2012,IND,1265780243
2012,IRN,75539881
2012,JPN,128423571
2012,KHM,14780454
2012,KIR,106359
2012,KOR,50060639
2012,LAO,6444527
2012,LKA,20532599
2012,MAC,564037
2012,MDV,397231
2012,MHL,56712
2012,MMR,51413703
2012,MNG,2824698
2012,MNP,54306
2012,MYS,29068189
2012,NCL,260657
2012,NIU,1606
2012,NPL,26989160
2012,NRU,10136
2012,NZL,4468462
2012,PAK,187280125
2012,PHL,97212639
2012,PLW,17635
2012,PNG,7631003
2012,PRK,24800638
2012,PYF,268995
2012,ROA,307889934
2012,SCA,604502812
2012,SGP,5369469
2012,SLB,556066
2012,THA,67835969
2012,TKL,1163
2012,TLS,1133002
2012,TON,102736
2012,TUV,10744
2012,TWN,23346898
2012,USA,314043885
2012,VNM,89801926
2012,VUT,249505
2012,WLF,12369
2012,WSM,189089
2013,AFG,32269592
2013,AFR,1136092837
2013,ASM,55717
2013,AUS,23254912
2013,BGD,152761413
2013,BRN,404414
2013,BTN,710235
2013,CAN,35296535
2013,CHN,1391883335
2013,COK,17834
2013,EUR,738417909
2013,FJI,865602
2013,FSM,105922
2013,GUM,160415
2013,HKG,7088780
2013,IDN,251805314
2013,IND,1280842119
2013,IRN,76481963
2013,JPN,128314189
2013,KHM,15026330
2013,KIR,107887
2013,KOR,50345720
2013,LAO,6541302
2013,LKA,20663053
2013,MAC,577368
2013,MDV,415592
2013,MHL,56933
2013,MMR,51852464
2013,MNG,2881783
2013,MNP,54786
2013,MYS,29468923
2013,NCL,264239
2013,NIU,1606
2013,NPL,26916795
2013,NRU,10208
2013,NZL,4518519
2013,PAK,191260799
2013,PHL,98871558
2013,PLW,17603
2013,PNG,7788388
2013,PRK,24929500
2013,PYF,270332
2013,ROA,314093062
2013,SCA,611044588
2013,SGP,5453732
2013,SLB,571329
2013,THA,68144519
2013,TKL,1191
2013,TLS,1153288
2013,TON,101768
2013,TUV,10849
2013,TWN,23421582
2013,USA,316400539
2013,VNM,90752593
2013,VUT,256637
2013,WLF,12353
2013,WSM,190712
2014,AFG,33370804
2014,AFR,1165811621
2014,ASM,55791
2014,AUS,23596426
2014,BGD,154517385
2014,BRN,409778
2014,BTN,719053
2014,CAN,35664338
2014,CHN,1399453966
2014,COK,17685
2014,EUR,739692535
2014,FJI,866447
2014,FSM,107444
2014,GUM,161007
2014,HKG,7134668
2014,IDN,255128076
2014,IND,1295600768
2014,IRN,77465769
2014,JPN,128168630
2014,KHM,15274506
2014,KIR,109387
2014,KOR,50607904
2014,LAO,6639763
2014,LKA,20788512
2014,MAC,590210
2014,MDV,435018
2014,MHL,57183
2014,MMR,52280816
2014,MNG,2940111
2014,MNP,55301
2014,MYS,29866606
2014,NCL,267732
2014,NIU,1607
2014,NPL,26905982
2014,NRU,10289
2014,NZL,4567522
2014,PAK,195305012
2014,PHL,100513137
2014,PLW,17625
2014,PNG,7946733
2014,PRK,25057793
2014,PYF,271713
2014,ROA,320180694
2014,SCA,617494838
2014,SGP,5525628
2014,SLB,587079
2014,THA,68438748
2014,TKL,1217
2014,TLS,1174333
2014,TON,101023
2014,TUV,10973
2014,TWN,23491976
2014,USA,318673422
2014,VNM,91713850
2014,VUT,263888
2014,WLF,12338
2014,WSM,192220
2015,AFG,34413603
2015,AFR,1196148206
2015,ASM,55806
2015,AUS,23932499
2015,BGD,156256287
2015,BRN,414914
2015,BTN,727885
2015,CAN,36026668
2015,CHN,1406847868
2015,COK,17581
2015,EUR,740931588
2015,FJI,868632
2015,FSM,108886
2015,GUM,161851
2015,HKG,7185992
2015,IDN,258383257
2015,IND,1310152392
2015,IRN,78492208
2015,JPN,127985139
2015,KHM,15521435
2015,KIR,110927
2015,KOR,50823087
2015,LAO,6741160
2015,LKA,20908024
2015,MAC,602093
2015,MDV,454914
2015,MHL,57444
2015,MMR,52680724
2015,MNG,2998433
2015,MNP,55779
2015,MYS,30270965
2015,NCL,271062
2015,NIU,1610
2015,NPL,27015033
2015,NRU,10374
2015,NZL,4614527
2015,PAK,199426953
2015,PHL,102113206
2015,PLW,17665
2015,PNG,8107772
2015,PRK,25183832
2015,PYF,273119
2015,ROA,326138407
2015,SCA,623830209
2015,SGP,5592143
2015,SLB,603133
2015,THA,68714519
2015,TKL,1247
2015,TLS,1196294
2015,TON,100780
2015,TUV,11099
2015,TWN,23557473
2015,USA,320878312
2015,VNM,92677082
2015,VUT,271128
2015,WLF,12262
2015,WSM,193510
2016,AFG,35383028
2016,AFR,1227081513
2016,ASM,55739
2016,AUS,24262710
2016,BGD,157977151
2016,BRN,419791
2016,BTN,736706
2016,CAN,36382942
2016,CHN,1414049353
2016,COK,17521
2016,EUR,742139871
2016,FJI,872406
2016,FSM,110215
2016,GUM,162948
2016,HKG,7243541
2016,IDN,261556386
2016,IND,1324517250
2016,IRN,79563991
2016,JPN,127763267
2016,KHM,15766290
2016,KIR,112529
2016,KOR,50983446
2016,LAO,6845848
2016,LKA,21021177
2016,MAC,612824
2016,MDV,475505
2016,MHL,57723
2016,MMR,53045199
2016,MNG,3056358
2016,MNP,56187
2016,MYS,30684652
2016,NCL,274190
2016,NIU,1611
2016,NPL,27263430
2016,NRU,10474
2016,NZL,4659265
2016,PAK,203631356
2016,PHL,103663812
2016,PLW,17718
2016,PNG,8271766
2016,PRK,25307665
2016,PYF,274576
2016,ROA,331936903
2016,SCA,630038367
2016,SGP,5653625
2016,SLB,619438
2016,THA,68971313
2016,TKL,1276
2016,TLS,1219289
2016,TON,101143
2016,TUV,11232
2016,TWN,23618201
2016,USA,323015992
2016,VNM,93640435
2016,VUT,278326
2016,WLF,12098
2016,WSM,194540
2017,AFG,36296111
2017,AFR,1258597253
2017,ASM,55617
2017,AUS,24584619
2017,BGD,159685421
2017,BRN,424481
2017,BTN,745563
2017,CAN,36732091
2017,CHN,1421021794
2017,COK,17505
2017,EUR,743284435
2017,FJI,877460
2017,FSM,111461
2017,GUM,164281
2017,HKG,7306315
2017,IDN,264650969
2017,IND,1338676779
2017,IRN,80673888
2017,JPN,127502728
2017,KHM,16009413
2017,KIR,114153
2017,KOR,51096408
2017,LAO,6953031
2017,LKA,21128028
2017,MAC,622578
2017,MDV,496398
2017,MHL,58053
2017,MMR,53382521
2017,MNG,3113788
2017,MNP,56553
2017,MYS,31104655
2017,NCL,277159
2017,NIU,1612
2017,NPL,27632682
2017,NRU,10577
2017,NZL,4702029
2017,PAK,207906210
2017,PHL,105172921
2017,PLW,17809
2017,PNG,8438038
2017,PRK,25429816
2017,PYF,276108
2017,ROA,337571210
2017,SCA,636124788
2017,SGP,5708042
2017,SLB,636030
2017,THA,69209817
2017,TKL,1297
2017,TLS,1243260
2017,TON,102002
2017,TUV,11365
2017,TWN,23674546
2017,USA,325084758
2017,VNM,94600643
2017,VUT,285499
2017,WLF,11894
2017,WSM,195358
2018,AFG,37171922
2018,AFR,1290634515
2018,ASM,55461
2018,AUS,24898153
2018,BGD,161376713
2018,BRN,428960
2018,BTN,754396
2018,CAN,37074558
2018,CHN,1427647789
2018,COK,17519
2018,EUR,744287982
2018,FJI,883490
2018,FSM,112640
2018,GUM,165770
